iteration,loss,params,train_time,n_trees
84,381.16678,"{'colsample_bytree': 0.8500000000000001, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 350.0, 'objective': 'reg:linear', 'subsample': 1.0}",1795.7413667024812,221
85,383.3943,"{'colsample_bytree': 0.8, 'depth': 6, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 200.0, 'objective': 'reg:linear', 'subsample': 0.75}",1430.495006619778,488
86,380.392,"{'colsample_bytree': 0.9, 'depth': 12, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 400.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",3036.0921852589236,465
87,394.04306,"{'colsample_bytree': 0.9500000000000001, 'depth': 3, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 100.0, 'objective': 'reg:linear', 'subsample': 0.8}",1743.0954489648575,1057
88,385.93546,"{'colsample_bytree': 0.75, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.9, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",1483.7024883191916,659
89,408.99423,"{'colsample_bytree': 0.8500000000000001, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.5, 'min_child_weight': 550.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",1410.1717829917907,1376
90,379.81992,"{'colsample_bytree': 0.9, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 1.0, 'min_child_weight': 650.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",2587.6880393004394,303
91,383.95242,"{'colsample_bytree': 0.8, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 1300.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1431.9157122935867,277
92,382.77954,"{'colsample_bytree': 0.7000000000000001, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 750.0, 'objective': 'reg:linear', 'subsample': 0.65}",1726.077481583925,392
93,384.30356,"{'colsample_bytree': 0.9500000000000001, 'depth': 14, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 950.0, 'objective': 'reg:linear', 'subsample': 0.75}",2657.6026675407775,313
94,382.32303,"{'colsample_bytree': 0.9, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.45, 'min_child_weight': 150.0, 'objective': 'reg:linear', 'subsample': 0.9}",1840.6545035677264,484
95,406.1151,"{'colsample_bytree': 1.0, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 300.0, 'objective': 'reg:linear', 'subsample': 0.8}",2257.764203984174,1950
96,386.31168,"{'colsample_bytree': 0.8, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.6000000000000001, 'min_child_weight': 800.0, 'objective': 'reg:linear', 'subsample': 0.5}",2218.1557091760915,344
97,380.56378,"{'colsample_bytree': 0.9, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 1000.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",3151.432156868279,542
98,382.3455,"{'colsample_bytree': 0.8500000000000001, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.55, 'min_child_weight': 450.0, 'objective': 'reg:linear', 'subsample': 0.8}",1920.400636897306,764
99,384.11118,"{'colsample_bytree': 0.9, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 700.0, 'objective': 'reg:linear', 'subsample': 0.65}",2532.8164319381467,469
100,386.50006,"{'colsample_bytree': 0.75, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.75, 'min_child_weight': 1200.0, 'objective': 'reg:linear', 'subsample': 0.55}",2281.5606489309575,566
101,387.70367,"{'colsample_bytree': 0.8, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 150.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1964.352841053449,1053
102,381.74072,"{'colsample_bytree': 0.8500000000000001, 'depth': 15, 'eval_metric': 'rmse', 'gamma': 0.9500000000000001, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.75}",1182.947411229543,113
103,379.52805,"{'colsample_bytree': 1.0, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.25, 'min_child_weight': 400.0, 'objective': 'reg:linear', 'subsample': 0.9}",1590.1045444282354,317
104,467.33734,"{'colsample_bytree': 0.9500000000000001, 'depth': 1, 'eval_metric': 'rmse', 'gamma': 0.65, 'min_child_weight': 800.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",523.796607875498,847
105,381.04553,"{'colsample_bytree': 0.9, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 650.0, 'objective': 'reg:linear', 'subsample': 0.8}",1518.6553531704121,393
